ID,Date,Close
227,1.11.2017,227.8
228,31.10.2017,226.95
229,30.10.2017,226.8
230,27.10.2017,220.5
231,26.10.2017,209.8
232,25.10.2017,205.3
233,24.10.2017,209.65
234,23.10.2017,203.1
235,19.10.2017,204.6
236,18.10.2017,206.8
237,17.10.2017,210.3
238,16.10.2017,209.6
239,13.10.2017,210.25
240,12.10.2017,212
241,11.10.2017,209.4
242,10.10.2017,208.45
243,9.10.2017,208.3
244,6.10.2017,209.6
245,5.10.2017,209.45
246,4.10.2017,204.95
247,3.10.2017,206.45
248,29.09.2017,205.8
249,28.09.2017,203.15
250,27.09.2017,198.6
251,26.09.2017,204.65
252,25.09.2017,196.65
253,22.09.2017,201.15
254,21.09.2017,212.2
255,20.09.2017,213.7
256,19.09.2017,216.2
257,18.09.2017,213.3
258,15.09.2017,210.55
259,14.09.2017,212.05
260,13.09.2017,207.3
261,12.09.2017,212.05
262,11.09.2017,209.25
263,8.09.2017,206.9
264,7.09.2017,205.75
265,6.09.2017,205.95
266,5.09.2017,196.7
267,4.09.2017,193.3
268,1.09.2017,197.6
269,31.08.2017,198
270,30.08.2017,197.05
271,29.08.2017,190.35
272,28.08.2017,193.3
273,24.08.2017,194.25
274,23.08.2017,196.55
275,22.08.2017,189.85
276,21.08.2017,196.15
277,18.08.2017,194.4
278,17.08.2017,190.6
279,16.08.2017,193.85
280,14.08.2017,178.75
281,11.08.2017,164.2
282,10.08.2017,156
283,9.08.2017,162.1
284,8.08.2017,166
285,7.08.2017,170.45
286,4.08.2017,166.45
287,3.08.2017,166.65
288,2.08.2017,165.1
289,1.08.2017,167.5
290,31.07.2017,169.55
291,28.07.2017,169.15
292,27.07.2017,168.4
293,26.07.2017,172.2
294,25.07.2017,171.15
295,24.07.2017,170
296,21.07.2017,172.2
297,20.07.2017,171.3
298,19.07.2017,175.15
299,18.07.2017,173.75
300,17.07.2017,177
301,14.07.2017,174.2
302,13.07.2017,175.4
303,12.07.2017,173.75
304,11.07.2017,169.5
305,10.07.2017,166.55
306,7.07.2017,157.75
307,6.07.2017,153.35
308,5.07.2017,156.15
309,4.07.2017,150.05
310,3.07.2017,151.6
311,30.06.2017,150.65
312,29.06.2017,148.5
313,28.06.2017,149.15
314,27.06.2017,147.35
315,23.06.2017,151.15
316,22.06.2017,154.75
317,21.06.2017,156.8
318,20.06.2017,156.85
319,19.06.2017,156.4
320,16.06.2017,158.2
321,15.06.2017,159.1
322,14.06.2017,158.45
323,13.06.2017,156.45
324,12.06.2017,152.1
325,9.06.2017,154.4
326,8.06.2017,154.6
327,7.06.2017,155.55
328,6.06.2017,153
329,5.06.2017,154.95
330,2.06.2017,154.85
331,1.06.2017,152.4
332,31.05.2017,149.4
333,30.05.2017,145.55
334,29.05.2017,145.4
335,26.05.2017,146.9
336,25.05.2017,143.05
337,24.05.2017,141.7
338,23.05.2017,144.75
339,22.05.2017,147.8
340,19.05.2017,149.5
341,18.05.2017,147.5
342,17.05.2017,152.85
343,16.05.2017,154.45
344,15.05.2017,154.6
345,12.05.2017,152.65
346,11.05.2017,154
347,10.05.2017,154.85
348,9.05.2017,154.05
349,8.05.2017,152.6
350,5.05.2017,152.3
351,4.05.2017,155.35
352,3.05.2017,156.2
353,2.05.2017,157.7
354,28.04.2017,153.1
355,27.04.2017,152.1
356,26.04.2017,153.75
357,25.04.2017,151.7
358,24.04.2017,151.95
359,21.04.2017,151.3
360,20.04.2017,152.15
361,19.04.2017,150.2
362,18.04.2017,148.15
363,17.04.2017,149.45
364,13.04.2017,150.5
365,12.04.2017,151.75
366,11.04.2017,153.4
367,10.04.2017,150.95
368,7.04.2017,150.6
369,6.04.2017,153.05
370,5.04.2017,152.65
371,3.04.2017,151.9
372,31.03.2017,150.55
373,30.03.2017,150.15
374,29.03.2017,150.6
375,28.03.2017,150.55
376,27.03.2017,148.6
377,24.03.2017,151.15
378,23.03.2017,151.6
379,22.03.2017,143.1
380,21.03.2017,145.9
381,20.03.2017,146.45
382,17.03.2017,144.8
383,16.03.2017,144.7
384,15.03.2017,140.9
385,14.03.2017,139.5
386,10.03.2017,137.1
387,9.03.2017,140.8
388,8.03.2017,141.4
389,7.03.2017,142.75
390,6.03.2017,143.25
391,3.03.2017,143.35
392,2.03.2017,141.1
393,1.03.2017,143.6
394,28.02.2017,138.05
395,27.02.2017,138.9
396,23.02.2017,139.25
397,22.02.2017,140
398,21.02.2017,141.6
399,20.02.2017,141.6
400,17.02.2017,140.15
401,16.02.2017,140.1
402,15.02.2017,138.75
403,14.02.2017,141.2
404,13.02.2017,141.95
405,10.02.2017,143.95
406,9.02.2017,143.9
407,8.02.2017,146.15
408,7.02.2017,141.65
409,6.02.2017,142.75
410,3.02.2017,141.85
411,2.02.2017,137.65
412,1.02.2017,130.1
413,31.01.2017,128.85
414,30.01.2017,130.45
415,27.01.2017,129.2
416,25.01.2017,128.35
417,24.01.2017,128.45
418,23.01.2017,127.9
419,20.01.2017,126.4
420,19.01.2017,130.5
421,18.01.2017,128.65
422,17.01.2017,127.6
423,16.01.2017,127.65
424,13.01.2017,128.35
425,12.01.2017,125.15
426,11.01.2017,127.55
427,10.01.2017,124.45
428,9.01.2017,124.75
429,6.01.2017,124.65
430,5.01.2017,125.2
431,4.01.2017,124.45
432,3.01.2017,124.45
433,2.01.2017,123.55
434,30.12.2016,122
435,29.12.2016,121.1
436,28.12.2016,119.6
437,27.12.2016,120.55
438,26.12.2016,117
439,23.12.2016,118.85
440,22.12.2016,119.4
441,21.12.2016,121.6
442,20.12.2016,121.25
443,19.12.2016,124.3
444,16.12.2016,124.3
445,15.12.2016,124.45
446,14.12.2016,122.75
447,13.12.2016,123.35
448,12.12.2016,123.35
449,9.12.2016,123.9
450,8.12.2016,123.85
451,7.12.2016,122.3
452,6.12.2016,123.4
453,5.12.2016,123.65
454,2.12.2016,121.55
455,1.12.2016,121.9
456,30.11.2016,123.85
457,29.11.2016,121.95
458,28.11.2016,120.95
459,25.11.2016,118.5
460,24.11.2016,115.1
461,23.11.2016,117.65
462,22.11.2016,117.3
463,21.11.2016,115.65
464,18.11.2016,120.1
465,17.11.2016,118.6
466,16.11.2016,121.3
467,15.11.2016,117
468,11.11.2016,118.65
469,10.11.2016,125.4
470,9.11.2016,121.9
471,8.11.2016,127.45
472,7.11.2016,128
473,4.11.2016,126.85
474,3.11.2016,131.35
475,2.11.2016,134.95
476,1.11.2016,138.6
477,30.10.2016,139.4
478,28.10.2016,139.95
479,27.10.2016,137.75
480,26.10.2016,145.4
481,25.10.2016,150
482,24.10.2016,154.05
483,21.10.2016,152.5
484,20.10.2016,152.35
485,19.10.2016,154.6
486,18.10.2016,151.9
487,17.10.2016,150.25
488,14.10.2016,153.2
489,13.10.2016,147.85
490,10.10.2016,151.65
491,7.10.2016,151.25
492,6.10.2016,150.9
493,5.10.2016,153.3
494,4.10.2016,141.8
495,3.10.2016,142.35
496,30.09.2016,139.6
497,29.09.2016,137
498,28.09.2016,146.75
499,27.09.2016,144.55
500,26.09.2016,140.65
501,23.09.2016,142.4
502,22.09.2016,138.9
503,21.09.2016,138.05
504,20.09.2016,138
505,19.09.2016,139.9
506,16.09.2016,139.85
507,15.09.2016,137
508,14.09.2016,137.45
509,12.09.2016,135.3
510,9.09.2016,139.7
511,8.09.2016,142.2
512,7.09.2016,142.2
513,6.09.2016,141.75
514,2.09.2016,141.6
515,1.09.2016,141.1
516,31.08.2016,140.25
517,30.08.2016,140.2
518,29.08.2016,139
519,26.08.2016,139.9
520,25.08.2016,140.45
521,24.08.2016,140.25
522,23.08.2016,139.6
523,22.08.2016,138.4
524,19.08.2016,141.25
525,18.08.2016,138.85
526,17.08.2016,137.65
527,16.08.2016,138.05
528,12.08.2016,136.95
529,11.08.2016,137.3
530,10.08.2016,137.75
531,9.08.2016,143.25
532,8.08.2016,142.9
533,5.08.2016,139.1
534,4.08.2016,138.3
535,3.08.2016,135.75
536,2.08.2016,138.4
537,1.08.2016,141
538,29.07.2016,142.15
539,28.07.2016,140.15
540,27.07.2016,137.45
541,26.07.2016,131.15
542,25.07.2016,133.45
543,22.07.2016,131.5
544,21.07.2016,131.8
545,20.07.2016,133.85
546,19.07.2016,130.05
547,18.07.2016,129.95
548,15.07.2016,132.6
549,14.07.2016,132.6
550,13.07.2016,132.15
551,12.07.2016,132.9
552,11.07.2016,133.1
553,8.07.2016,132.6
554,7.07.2016,134.45
555,5.07.2016,133.9
556,4.07.2016,134.1
557,1.07.2016,134.9
558,30.06.2016,131.2
559,29.06.2016,129.7
560,28.06.2016,127.85
561,27.06.2016,125.95
562,24.06.2016,124.25
563,23.06.2016,126.75
564,22.06.2016,127.25
565,21.06.2016,125.45
566,20.06.2016,126.15
567,17.06.2016,125.7
568,16.06.2016,126.1
569,15.06.2016,127
570,14.06.2016,126.5
571,13.06.2016,128.15
572,10.06.2016,123.65
573,9.06.2016,124.95
574,8.06.2016,124.4
575,7.06.2016,119.35
576,6.06.2016,119.3
577,3.06.2016,120.2
578,2.06.2016,119.25
579,1.06.2016,118.05
580,31.05.2016,117.75
581,30.05.2016,117.95
582,27.05.2016,117.3
583,26.05.2016,118.6
584,25.05.2016,119.5
585,24.05.2016,121.75
586,23.05.2016,120.4
587,20.05.2016,120.05
588,19.05.2016,119.95
589,18.05.2016,120.95
590,17.05.2016,120.35
591,16.05.2016,120.65
592,13.05.2016,119.55
593,12.05.2016,118.95
594,11.05.2016,117.3
595,10.05.2016,118.2
596,9.05.2016,118.75
597,6.05.2016,118.1
598,5.05.2016,116.35
599,4.05.2016,116.95
600,3.05.2016,119.45
601,2.05.2016,121.1
602,29.04.2016,120.05
603,28.04.2016,120.3
604,27.04.2016,122.4
605,26.04.2016,121.8
606,25.04.2016,121.2
607,22.04.2016,120.25
608,21.04.2016,120.1
609,20.04.2016,121.85
610,18.04.2016,120
611,13.04.2016,120.65
612,12.04.2016,118.35
613,11.04.2016,119.5
614,8.04.2016,117.7
615,7.04.2016,118.7
616,6.04.2016,118.85
617,5.04.2016,118.25
618,4.04.2016,121.2
619,1.04.2016,122.55
620,31.03.2016,121.25
621,30.03.2016,121.4
622,29.03.2016,119.3
623,28.03.2016,119.4
624,23.03.2016,119.45
625,22.03.2016,121.4
626,21.03.2016,119.9
627,18.03.2016,118.9
628,17.03.2016,115.8
629,16.03.2016,115.1
630,15.03.2016,115.45
631,14.03.2016,115.65
632,11.03.2016,115.85
633,10.03.2016,116.45
634,9.03.2016,116.85
635,8.03.2016,115.65
636,4.03.2016,113.25
637,3.03.2016,109.5
638,2.03.2016,109.9
639,1.03.2016,108.9
640,29.02.2016,103.55
641,26.02.2016,104.75
642,25.02.2016,106.2
643,24.02.2016,106.7
644,23.02.2016,106.65
645,22.02.2016,109.1
646,19.02.2016,107.3
647,18.02.2016,104.55
648,17.02.2016,104
649,16.02.2016,102.65
650,15.02.2016,106
651,12.02.2016,104.3
652,11.02.2016,105.25
653,10.02.2016,118.35
654,9.02.2016,120.75
655,8.02.2016,123.9
656,5.02.2016,122.5
657,4.02.2016,121.6
658,3.02.2016,121.75
659,2.02.2016,124.25
660,1.02.2016,126.6
661,29.01.2016,126.5
662,28.01.2016,123.15
663,27.01.2016,124.45
664,25.01.2016,124.3
665,22.01.2016,125.55
666,21.01.2016,121.75
667,20.01.2016,122.55
668,19.01.2016,126.4
669,18.01.2016,121.85
670,15.01.2016,128.5
671,14.01.2016,134.05
672,13.01.2016,135.6
673,12.01.2016,139.5
674,11.01.2016,141.9
675,8.01.2016,144.45
676,7.01.2016,140.05
677,6.01.2016,145.25
678,5.01.2016,148.35
679,4.01.2016,143.7
680,1.01.2016,146.4
681,31.12.2015,146.2
682,30.12.2015,146.35
683,29.12.2015,141.9
684,28.12.2015,144.05
685,24.12.2015,144.8
686,23.12.2015,142
687,22.12.2015,141.2
688,21.12.2015,142.9
689,18.12.2015,141.9
690,17.12.2015,142.2
691,16.12.2015,136.55
692,15.12.2015,133.85
693,14.12.2015,134.35
694,11.12.2015,133.2
695,10.12.2015,135.3
696,9.12.2015,132.15
697,8.12.2015,135
698,7.12.2015,135.35
699,4.12.2015,133.65
700,3.12.2015,134.9
701,2.12.2015,136.2
702,1.12.2015,136.25
703,30.11.2015,137.55
704,27.11.2015,136.95
705,26.11.2015,134.95
706,24.11.2015,134.35
707,23.11.2015,132.95
708,20.11.2015,133.8
709,19.11.2015,130.9
710,18.11.2015,128.75
711,17.11.2015,132.5
712,16.11.2015,128.15
713,13.11.2015,128
714,11.11.2015,127.9
715,10.11.2015,125.7
716,9.11.2015,128.8
717,6.11.2015,125.85
718,5.11.2015,128
719,4.11.2015,131.75
720,3.11.2015,131.75
721,2.11.2015,132.65
722,30.10.2015,133.45
723,29.10.2015,135.9
724,28.10.2015,135.6
725,27.10.2015,135.8
726,26.10.2015,138.9
727,23.10.2015,137.8
728,21.10.2015,137.55
729,20.10.2015,139.4
730,19.10.2015,134.7
731,16.10.2015,134
732,15.10.2015,134.7
733,14.10.2015,134
734,13.10.2015,132.3
735,12.10.2015,134.55
736,9.10.2015,134.7
737,8.10.2015,133.35
738,7.10.2015,133.05
739,6.10.2015,130.55
740,5.10.2015,131.85
741,1.10.2015,130.05
742,30.09.2015,127.8
743,29.09.2015,126.6
744,28.09.2015,127.1
745,24.09.2015,124.2
746,23.09.2015,125
747,22.09.2015,123.9
748,21.09.2015,125.5
749,18.09.2015,125.45
750,16.09.2015,123.1
751,15.09.2015,125.4
752,14.09.2015,124.05
753,11.09.2015,123.25
754,10.09.2015,123.75
755,9.09.2015,123.65
756,8.09.2015,120.95
757,7.09.2015,120.45
758,4.09.2015,120.2
759,3.09.2015,124.15
760,2.09.2015,118.85
761,1.09.2015,115.2
762,31.08.2015,119.6
763,28.08.2015,118.15
764,27.08.2015,116.35
765,26.08.2015,117.3
766,25.08.2015,117.55
767,24.08.2015,114.85
768,21.08.2015,130.4
769,20.08.2015,132.9
770,19.08.2015,133.8
771,18.08.2015,134.15
772,17.08.2015,131
773,14.08.2015,132.1
774,13.08.2015,130
775,12.08.2015,133.05
776,11.08.2015,137.7
777,10.08.2015,138.95
778,7.08.2015,141.95
779,6.08.2015,143.75
780,5.08.2015,142.15
781,4.08.2015,143.3
782,3.08.2015,140.85
783,31.07.2015,140.2
784,30.07.2015,137.15
785,29.07.2015,138.65
786,28.07.2015,137.45
787,27.07.2015,137.55
788,24.07.2015,140.8
789,23.07.2015,140.85
790,22.07.2015,139.5
791,21.07.2015,137.5
792,20.07.2015,141.75
793,17.07.2015,139
794,16.07.2015,138
795,15.07.2015,138.15
796,14.07.2015,137.05
797,13.07.2015,136.8
798,10.07.2015,134.55
799,9.07.2015,133.95
800,8.07.2015,134.9
801,7.07.2015,138.2
802,6.07.2015,135
803,3.07.2015,136.1
804,2.07.2015,137.1
